Państwo,Rate_1,Rate_2
Afganistan,5,5
Albania,5,5
Algieria,5,5
Andora,5,5
Angola,5,5
Antigua i Barbuda,5,5
Arabia Saudyjska,5,5
Argentyna,5,5
Armenia,5,5
Australia,5,5
Austria,5,5
Azerbejdżan,5,5
Bahamy,5,5
Bahrajn,5,5
Bangladesz,5,5
Barbados,5,5
Belgia,5,5
Belize,5,5
Benin,5,5
Bhutan,5,5
Białoruś,5,5
Boliwia,5,5
Bośnia i Hercegowina,5,5
Botswana,5,5
Brazylia,5,5
Brunei,5,5
Bułgaria,5,5
Burkina Faso,5,5
Burundi,5,5
Chile,5,5
Chiny,5,5
Chorwacja,5,5
Cypr,5,5
Czad,5,5
Czarnogóra,5,5
Czechy,5,5
Dania,5,5
Demokratyczna Republika Konga,5,5
Dominika,5,5
Dominikana,5,5
Dżibuti,5,5
Egipt,5,5
Ekwador,5,5
Erytrea,5,5
Estonia,5,5
Eswatini,5,5
Etiopia,5,5
Fidżi,5,5
Filipiny,5,5
Finlandia,5,5
Francja,5,5
Gabon,5,5
Gambia,5,5
Ghana,5,5
Grecja,5,5
Grenada,5,5
Gruzja,5,5
Gujana,5,5
Gwatemala,5,5
Gwinea,5,5
Gwinea Bissau,5,5
Gwinea Równikowa,5,5
Haiti,5,5
Hiszpania,5,5
Holandia,5,5
Honduras,5,5
Indie,5,5
Indonezja,5,5
Irak,5,5
Iran,5,5
Irlandia,5,5
Islandia,5,5
Izrael,5,5
Jamajka,5,5
Japonia,5,5
Jemen,5,5
Jordania,5,5
Kambodża,5,5
Kamerun,5,5
Kanada,5,5
Katar,5,5
Kazachstan,5,5
Kenia,5,5
Kirgistan,5,5
Kiribati,5,5
Kolumbia,5,5
Komory,5,5
Kongo,5,5
Korea Południowa,5,5
Korea Północna,5,5
Kostaryka,5,5
Kuba,5,5
Kuwejt,5,5
Laos,5,5
Lesotho,5,5
Liban,5,5
Liberia,5,5
Libia,5,5
Lichtenstein,5,5
Litwa,5,5
Luksemburg,5,5
Łotwa,5,5
Macedonia Północna,5,5
Madagaskar,5,5
Malawi,5,5
Malediwy,5,5
Malezja,5,5
Mali,5,5
Malta,5,5
Maroko,5,5
Mauretania,5,5
Mauritius,5,5
Meksyk,5,5
Mikronezja,5,5
Mjanma,5,5
Mołdawia,5,5
Monako,5,5
Mongolia,5,5
Mozambik,5,5
Namibia,5,5
Nauru,5,5
Nepal,5,5
Niemcy,5,5
Niger,5,5
Nigeria,5,5
Nikaragua,5,5
Norwegia,5,5
Nowa Zelandia,5,5
Oman,5,5
Pakistan,5,5
Palau,5,5
Panama,5,5
Papua-Nowa Gwinea,5,5
Paragwaj,5,5
Peru,5,5
Polska,5,5
Południowa Afryka,5,5
Portugalia,5,5
Republika Środkowoafrykańska,5,5
Republika Zielonego Przylądka,5,5
Rosja,5,5
Rumunia,5,5
Rwanda,5,5
Saint Kitts i Nevis,5,5
Saint Lucia,5,5
Saint Vincent i Grenadyny,5,5
Salwador,5,5
Samoa,5,5
San Marino,5,5
Senegal,5,5
Serbia,5,5
Seszele,5,5
Sierra Leone,5,5
Singapur,5,5
Słowacja,5,5
Słowenia,5,5
Somalia,5,5
Sri Lanka,5,5
Stany Zjednoczone,5,5
Sudan,5,5
Sudan Południowy,5,5
Surinam,5,5
Syria,5,5
Szwajcaria,5,5
Szwecja,5,5
Tadżykistan,5,5
Tajlandia,5,5
Tanzania,5,5
Timor Wschodni,5,5
Togo,5,5
Tonga,5,5
Trynidad i Tobago,5,5
Tunezja,5,5
Turcja,5,5
Turkmenistan,5,5
Tuvalu,5,5
Uganda,5,5
Ukraina,5,5
Urugwaj,5,5
Uzbekistan,5,5
Vanuatu,5,5
Watykan,5,5
Wenezuela,5,5
Węgry,5,5
Wielka Brytania,5,5
Wietnam,5,5
Włochy,5,5
Wybrzeże Kości Słoniowej,5,5
Wyspy Marshalla,5,5
Wyspy Salomona,5,5
Wyspy Świętego Tomasza i Książęca,5,5
Zambia,5,5
Zimbabwe,5,5
Zjednoczone Emiraty Arabskie,5,5
Kosowo,5,5
Tajwan,5,5
